name,empire,date,date_estimate,period,found_region_origin,found_city_modern,found_region_modern1,found_region_modern2,current_city,current_country,distance_from_origin(km),writing_material,media_material,form,script_type,script_direction,subject,subject_topic,source_url,description,img_src
Kish Tablet,Ancient Mesopotamia,3200 BCE,-3200,Late Uruk Period,Kish (Sumeria),Babylon Governorate,Iraq,Middle East,Baghdad,Iraq,835,inscription,limestone,tablet,pictographic,unknown,unknown,unknown,https://en.wikipedia.org/wiki/Kish_tablet,"The Kish tablet is a limestone tablet found at the site of the ancient Sumerian city of Kish in modern Tell al-Uhaymir, Babylon Governorate, Iraq. The signs on the Kish tablet, possibly related to proto-cuneiform, are purely pictographic, and have not been deciphered or demonstrated to correspond to human language."
Narmer Palette,Ancient Egypt,3100 BCE,-3100,Early Dynastic Period of Egypt,Nekhen (Egypt),,Egypt,Africa,Cairo,Egypt,3332,inscription,siltstone,palette,Egyptian hieroglyph,none,historical record,record,https://en.wikipedia.org/wiki/Narmer_Palette,"The tablet is thought by some to depict the unification of Upper and Lower Egypt under the king Narmer. Along with the Scorpion Macehead and the Narmer Maceheads, also found together in the main deposit at Nekhen, the Narmer Palette provides one of the earliest known depictions of an Egyptian king. On one side, the king is depicted with the bulbed White Crown of Upper (southern) Egypt, and the other side depicts the king wearing the level Red Crown of Lower (northern) Egypt, which also makes it the earliest known example of a king wearing both types of headdress. Egyptologists Bob Brier and A. Hoyt Hobbs have referred to the Narmer Palette as 'The oldest Egyptian historical record'."
Diary of Merer (Papyrus Jarf),Ancient Egypt,2500 BCE,-2500,Old Kingdom of Egypt,Wadi al-Jarf (Egypt),Wadi al-Jarf, Egypt,Africa,Cairo,Egypt,240,ink,papyrus,logbook,Egyptian hieroglyph,,diary,record,https://en.wikipedia.org/wiki/Diary_of_Merer,"The Diary of Merer (also known as Papyrus Jarf) is the name for papyrus logbooks written over 4,500 years ago by Merer, a middle-ranking official with the title inspector (sḥḏ, sehedj). They are the oldest known papyri with text, dating to the 26th year of the reign of Pharaoh Khufu (reigned in the early 26th century BC, estimated c. 2589 – c. 2566 BC) during the Fourth Dynasty of Egypt. The text, written with (hieratic) hieroglyphs, mostly consists of lists of the daily activities of Merer and his crew. The best preserved sections (Papyrus Jarf A and B) document the transportation of white limestone blocks from the Tura quarries to Giza by boat.",https://www.historytoday.com/archive/history-matters/monumental-record
Palermo Stone,Ancient Egypt,2338 BCE,-2338,Old Kingdom of Egypt,Memphis and Middle Egypt (Egypt),Mit Rahina,Egypt,Palermo,Africa,Italy,1883,inscription,basalt,stele,Egyptian hieroglyph,right_to_left,historical record,record,https://en.wikipedia.org/wiki/Palermo_Stone,"The Palermo Stone is one of seven surviving fragments of a stele known as the Royal Annals of the Old Kingdom of Ancient Egypt. The stele contained a list of the kings of Egypt from the First Dynasty (c. 3150–2890 BCE) through to the early part of the Fifth Dynasty (c. 2392–2283 BCE) and noted significant events in each year of their reigns. It was probably made during the Fifth Dynasty. The term 'Palermo Stone' is sometimes applied to all seven surviving fragments of the Royal Annals including those held in museums in Cairo and London. The fragments are also sometimes described collectively as the 'Cairo Annals Stone' although the term 'Cairo Stone' is also used to mean only those fragments of the Royal Annals now in Cairo."
Istanbul #2461,Sumeria,2031 BCE,-2031,,Nippur (Sumeria),Nuffar,Iraq,Middle East,Istanbul,Turkey,1113.87,inscription,terracotta,cuneiform,Sumerian,,love poem,interpersonal,https://en.wikipedia.org/wiki/Istanbul_2461,"Istanbul #2461 is an ancient Sumerian cuneiform tablet. Some have labelled it the world's oldest love poem. It is on display at the Istanbul Museum of the Ancient Orient (Mesopotamia Hall). It is an erotic poem addressed to king Shu-Sin (reigned 20th or 21st century BC) by an unnamed female speaker. It is thought that the poem may be connected to a 'sacred marriage' between the king and a priestess of Inanna."
Code of Hammurabi,Ancient Babylon,1792–1750 BC,-1792,Old Babylonian Empire (First Dynasty of Babylon),Sippar (Mesopotamia),Baghdad,Iraq,Middle East,Paris,France,3859.60,inscription,basalt,stele,Akkadian,,list of laws,political,https://en.wikipedia.org/wiki/Code_of_Hammurabi,"The Code of Hammurabi is a Babylonian legal text composed during 1755–1750 BC. It is the longest, best-organized, and best-preserved legal text from the ancient Near East. It is written in the Old Babylonian dialect of Akkadian, purportedly by Hammurabi, sixth king of the First Dynasty of Babylon. The primary copy of the text is inscribed on a basalt stele 2.25 m (7 ft 4+1⁄2 in) tall. <br/><br/> The stele was rediscovered in 1901 at the site of Susa in present-day Iran, where it had been taken as plunder six hundred years after its creation. The text itself was copied and studied by Mesopotamian scribes for over a millennium. The stele now resides in the Louvre Museum. <br/><br/>The top of the stele features an image in relief of Hammurabi with Shamash, the Babylonian sun god and god of justice. Below the relief are about 4,130 lines of cuneiform text: one fifth contains a prologue and epilogue in poetic style, while the remaining four fifths contain what are generally called the laws. In the prologue, Hammurabi claims to have been granted his rule by the gods 'to prevent the strong from oppressing the weak'. The laws are casuistic, expressed as 'if ... then' conditional sentences. Their scope is broad, including, for example, criminal law, family law, property law, and commercial law."
Complaint tablet to Ea-nāṣir,Sumeria,1750 BCE,-1720,,Ur (Sumeria),Nasiriyah,Iraq,Middle East,London,England,4393.17,inscription,clay,cuneiform,Akkadian,left_to_right,commercial complaint,commercial,https://en.wikipedia.org/wiki/Complaint_tablet_to_Ea-n%C4%81%E1%B9%A3ir,"The complaint tablet to Ea-nāṣir (UET V 81)[1] is a clay tablet that was sent to the ancient city-state Ur, written c. 1750 BCE. The tablet, measuring 11.6 cm high and 5 cm wide, documents a transaction in which Ea-nāṣir,[a] a trader, allegedly sold sub-standard copper to a customer named Nanni. Nanni, dissatisfied with the quality, wrote a cuneiform complaint addressing the poor service and mistreatment of his servant. <br/><br/>Written in Akkadian cuneiform, this tablet is recognized as the 'Oldest Customer Complaint' by Guinness World Records. From 2015 onwards, the tablet's content and Ea-nāṣir in particular gained popularity as an internet meme, due to its modern-sounding nature of dissatisfaction with goods.", 
The Gilgamesh Dream Tablet,Ancient Mesopotamia,1732–1460 BCE,-1600,Middle Babylonian Period,Library of Ashurbanipal,Mosul,Iraq,Middle East,,Iraq,0,inscription,clay,cuneiform,Akkadian,left_to_right,epic,literature,https://www.bbc.com/news/world-middle-east-58662893,"The Epic of Gilgamesh (/ˈɡɪlɡəmɛʃ/)[2] is an epic from ancient Mesopotamia. The literary history of Gilgamesh begins with five Sumerian poems about Gilgamesh (formerly read as Sumerian 'Bilgames'), king of Uruk, some of which may date back to the Third Dynasty of Ur (c. 2100 BCE).[1] These independent stories were later used as source material for a combined epic in Akkadian. The first surviving version of this combined epic, known as the 'Old Babylonian' version, dates back to the 18th century BCE and is titled after its incipit, Shūtur eli sharrī ('Surpassing All Other Kings'). Only a few tablets of it have survived.<br/><br/>In the early 2000s, the Gilgamesh Dream Tablet was imported illegally into the United States. According to the United States Department of Justice, the tablet was encrusted with dirt and unreadable when it was purchased by a US antiquities dealer in 2003. The tablet was sold by an unnamed antiques dealer in 2007 with a letter falsely stating that it had been inside a box of ancient bronze fragments purchased in a 1981 auction. In 2014, Hobby Lobby privately purchased the tablet for display at the Museum of the Bible in Washington, D.C. In 2019, the Gilgamesh Dream Tablet was seized by US officials and was returned to Iraq in September 2021."
Akkadian Cuneiform in Jerusalem,,1400 BCE,-1400,Late Bronze Age,Jerusalem (Israel),Jerusalem,Israel,Middle East,Jerusalem?,Israel,unknown,inscription,clay,cuneiform,Akkadian,left_to_right,unknown,unknown,https://armstronginstitute.org/161-the-oldest-writing-in-jerusalem,"A tiny clay fragment � dating from the 14th century B.C.E. � that was found in excavations outside Jerusalem�s Old City walls contains the oldest written document ever found in Jerusalem, say researchers at the Hebrew University of Jerusalem. The find, believed to be part of a tablet from a royal archives, further testifies to the importance of Jerusalem as a major city in the Late Bronze Age, long before its conquest by King David, they say. <br/><br/> The words the symbols form are not significant in themselves, but what is significant is that the script is of a very high level, testifying to the fact that it was written by a highly skilled scribe that in all likelihood prepared tablets for the royal household of the time, said Prof. Wayne Horowitz, a scholar of Assyriology at the Hebrew University Institute of Archaeology."
Ox Scapula Oracle Bone by Zhēng 爭,China,1200 BCE,-1200,Shang Dynasty,Anyang (China),Anyang,China,East Asia,Beijing,China,463.71,inscription,ox scapula,oracle bone,early Chinese,top_to_bottom,oracle,religious,https://en.wikipedia.org/wiki/Oracle_bone,"Oracle bone recording divinations by Zhēng 爭, one of the Bīn 賓 group of diviners from period I, corresponding to the reign of King Wu Ding (late Shang dynasty).<br/><br/> Oracle bones are pieces of ox scapula and turtle plastron which were used in pyromancy – a form of divination – during the Late Shang period (c. 1250 – c. 1050 BCE) in ancient China. Scapulimancy is the specific term if ox scapulae were used for the divination, plastromancy if turtle plastrons were used. A recent count estimated that there were about 13,000 bones with a total of a little over 130,000 inscriptions in collections in China and some fourteen other countries. <br/><br/> Diviners would submit questions to deities regarding weather, crop planting, the fortunes of members of the royal family, military endeavors, and similar topics. These questions were carved onto the bone or shell in oracle bone script using a sharp tool. Intense heat was then applied with a metal rod until the bone or shell cracked due to thermal expansion. The diviner would then interpret the pattern of cracks and write the prognostication upon the piece as well. Pyromancy with bones continued in China into the Zhou dynasty, but the questions and prognostications were increasingly written with brushes and cinnabar ink, which degraded over time."
